Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
12,163565,48485
62,361080,246000
161,180540,65460
261,227480,112400
362,180540,65460
462,194983,79903
566,32130,0
664,198594,83514
765,146593,31513
869,0,0
970,12852,0
1065,252756,137676
1169,324972,209892
1268,133599,18519
1373,34700,0
1469,144432,29352
1572,23133,0
1678,12852,0
1779,25704,0
1873,36108,0
1978,23133,0
2078,14137,0
2179,25704,0
2280,0,0
2381,13767,0
2486,12852,0
2582,25704,0
2683,25704,0
2785,12852,0
2886,28274,0
2985,12852,0
3086,53071,0
3187,361080,246000
3285,198594,83514
3385,218598,103518
3483,119156,4076
3593,23133,0
3692,14137,0
3790,57834,0
3892,15422,0
3992,25704,0
4097,12852,0
4193,32130,0
4294,0,0
4394,74945,0
4495,317750,202670
4597,28274,0
4698,0,0
4799,0,0
4900,12852,0
5004,11566,0
5103,25704,0
5203,324972,209892
5306,12852,0
5405,0,0
5506,29418,0
5606,361080,246000
5709,12852,0
5812,48541,0
5912,29418,0
6013,0,0
6115,23133,0
6218,12852,0
6316,0,0
6417,12852,0
6517,12852,0
6618,14137,0
6718,12852,0
6816,199885,84805
6916,361080,246000
7040,80967,0
7117,119156,4076
7221,0,0
7324,0,0
7427,0,0
7526,25704,0
7625,25704,0
7727,12852,0
7828,0,0
7934,25704,0
8030,25704,0
8130,278031,162951
8229,216648,101568
8329,46359,0
8433,23133,0
8536,14137,0
8633,13767,0
8734,0,0
8835,0,0
8943,0,0
9037,25704,0
9138,14137,0
9238,23133,0
9336,43329,0
9436,180540,65460
9540,11566,0
9640,70762,0
9742,0,0
9845,12852,0
9944,23133,0
10044,23133,0
10144,0,0
10247,25704,0
10349,12852,0
10448,0,0
10549,23133,0
10669,238312,123232
10747,252756,137676
10853,51734,0
10949,361080,246000
11048,198594,83514
11149,0,0
11253,12852,0
11353,12852,0
11457,11566,0
11556,0,0
11609,20563,0
11707,44128,0
11805,35381,0
11937,97491,0
12007,361080,246000
12106,324972,209892
12208,61682,0
12310,34700,0
12411,34700,0
12510,0,0
12611,13767,0
12712,0,0
12812,12852,0
12914,23133,0
13014,0,0
13114,23133,0
13210,288864,173784
13314,12852,0
13415,52953,0
13515,25704,0
13615,12852,0
13716,25704,0
13817,0,0
13917,158875,43795
14016,144432,29352
14120,0,0
14220,12852,0
14322,12852,0
14425,180540,65460
14520,292474,177394
14626,15144,0
14725,25704,0
14825,12852,0
14921,36108,0
15023,238312,123232
15124,361080,246000
15229,361080,246000
15326,361080,246000
15427,361080,246000
15527,361080,246000
15627,317750,202670
15729,361080,246000
15845,361080,246000
15930,361080,246000
16030,361080,246000
16131,361080,246000
16233,361080,246000
16334,361080,246000
16432,361080,246000
16532,361080,246000
16633,361080,246000
16743,324972,209892
16836,361080,246000
16939,361080,246000
17036,361080,246000
17161,259977,144897
17237,361080,246000
17338,324972,209892
17439,361080,246000
17540,324972,209892
17640,361080,246000
17741,361080,246000
17842,361080,246000
17942,288864,173784
18043,324972,209892
18143,259977,144897
18244,324972,209892
18343,324972,209892
