Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
67,408319,34519
118,1048241,674441
228,1397655,1023855
313,838593,464793
409,922452,548652
518,11566,0
611,139536,0
713,153489,0
826,53071,0
919,67373,0
1018,125582,0
1124,12852,0
1226,0,0
1320,94957,0
1427,23133,0
1541,32130,0
1625,0,0
1809,140872,0
1836,1041868,668068
1924,831674,457874
2040,94076,0
2125,306979,0
2230,56077,0
2326,279072,0
2427,37806,0
2526,522268,148468
2633,26476,0
2745,196271,0
2831,198594,0
2934,0,0
3034,14709,0
3140,129988,0
3236,19459,0
3338,0,0
3437,194983,0
3538,361080,0
3639,70686,0
3740,0,0
3842,11566,0
3943,12852,0
4044,14137,0
4145,11566,0
4244,15422,0
4349,11566,0
4447,25704,0
4546,14137,0
4648,29418,0
4764,55013,0
4848,14137,0
4949,38556,0
5050,15422,0
5154,37172,0
5251,14137,0
5352,14137,0
5452,28274,0
5553,23133,0
5669,25704,0
5754,21228,0
5856,25704,0
5956,38556,0
6056,23133,0
6166,14137,0
6259,14137,0
6359,24781,0
6460,12852,0
6561,14137,0
6661,0,0
6762,16670,0
6863,20563,0
6964,15677,0
7067,12852,0
7167,0,0
7269,12852,0
7368,14137,0
7469,25704,0
7570,0,0
7690,55013,0
7769,24232,0
7873,34700,0
7973,14137,0
8075,28274,0
8178,11566,0
8276,14137,0
8376,25704,0
8477,14137,0
8580,12852,0
8679,32130,0
8780,0,0
8881,25704,0
8981,180540,0
9083,0,0
9182,22029,0
9286,23133,0
9386,12852,0
9487,14137,0
9588,12852,0
9691,12852,0
9789,14137,0
9889,25704,0
9986,97491,0
10090,0,0
10192,0,0
10291,38556,0
10392,23133,0
10493,25704,0
10594,12852,0
10695,0,0
10796,37172,0
10897,12852,0
10997,23133,0
11046,0,0
11147,15422,0
11249,23133,0
11349,15422,0
11452,11566,0
11552,25704,0
11653,25704,0
11754,12852,0
11856,23133,0
11956,14137,0
12057,12852,0
12160,12852,0
12258,14137,0
12358,14137,0
12459,23133,0
12560,23133,0
12663,12852,0
12762,12852,0
12863,23133,0
12963,25704,0
13063,25704,0
13177,23133,0
13262,43329,0
13366,0,0
13467,32130,0
13568,25704,0
13684,20563,0
13772,99040,0
13872,216648,0
13971,223869,0
14075,227480,0
14174,324972,0
14275,361080,0
14378,361080,0
14477,361080,0
14578,281054,0
14678,317750,0
14777,270810,0
14881,31843,0
14982,25704,0
15083,28274,0
15191,12852,0
15284,31354,0
15385,15422,0
15486,23133,0
15588,23133,0
15687,14137,0
15790,0,0
15887,252756,0
15986,324972,0
16088,259977,0
16186,324972,0
16286,180540,0
16397,23133,0
16492,33341,0
16596,0,0
16694,28274,0
16794,25704,0
16891,227480,0
16998,25704,0
17097,118848,0
17199,292474,0
17297,180540,0
17397,288864,0
17497,252756,0
17603,0,0
17702,25704,0
17802,23133,0
17904,25704,0
18005,25704,0
18106,12852,0
18207,25704,0
18309,14137,0
18414,23133,0
18509,14137,0
18610,28274,0
18710,12852,0
18811,14137,0
18910,88453,0
19019,278031,0
19109,292474,0
19210,317750,0
19310,361080,0
19414,34700,0
19517,12852,0
19612,39718,0
19717,12852,0
19824,25704,0
19919,32360,0
20017,288864,0
20115,317750,0
20217,288864,0
20316,361080,0
20420,77112,0
20521,0,0
20621,32130,0
20727,25704,0
20824,14137,0
20924,34700,0
21023,138657,0
21123,361080,0
21222,252756,0
21322,361080,0
21422,64994,0
21526,0,0
21630,12852,0
21728,12852,0
21829,14137,0
21929,12852,0
22029,28274,0
22129,34700,0
22230,32130,0
22341,14137,0
22432,15144,0
22535,14137,0
22630,57772,0
22734,34700,0
22838,14137,0
22936,32130,0
23035,205230,0
23137,278031,0
23235,317750,0
23335,324972,0
23436,361080,0
23537,317750,0
23637,259977,0
23737,238312,0
23840,14137,0
23944,23133,0
24043,25704,0
24144,25704,0
24244,28274,0
24344,12852,0
24444,14137,0
24546,34700,0
24647,12852,0
24748,14137,0
24845,144432,0
24948,12852,0
25049,58837,0
25148,196789,0
25198,361080,0
25299,259977,0
25400,259977,0
25500,216648,0
25612,11566,0
25705,0,0
25805,23133,0
25906,0,0
26006,11566,0
26110,134901,0
26210,361080,0
26307,198594,0
26408,361080,0
26507,288864,0
26611,25704,0
26712,12852,0
26818,0,0
26915,25704,0
27015,25704,0
27119,34700,0
27219,0,0
27317,25704,0
27417,23133,0
27518,0,0
27621,0,0
27720,23133,0
27821,32130,0
27922,12852,0
28023,14137,0
28123,45011,0
28223,361080,0
28325,178273,0
28422,324972,0
28523,361080,0
28627,0,0
28728,12852,0
28829,15422,0
28930,23133,0
29031,23133,0
29133,12852,0
29231,51408,0
29330,361080,0
29431,288864,0
29531,317750,0
29630,361080,0
29730,162486,0
29834,15677,0
29936,14137,0
30035,23133,0
30140,23133,0
30237,278031,0
30338,306918,0
30436,292474,0
30536,361080,0
30636,97491,0
30742,12852,0
30841,25704,0
30943,14137,0
31046,12852,0
31143,16180,0
31254,140522,0
31344,314139,0
31442,252756,0
31543,361080,0
31643,43329,0
31749,23133,0
31852,11566,0
31950,51408,0
32050,12852,0
32151,14137,0
32251,16180,0
32352,12852,0
32453,0,0
32554,23133,0
32654,0,0
32756,12852,0
32855,25704,0
32956,0,0
33056,12852,0
33157,12852,0
33261,166892,0
33359,252756,0
33465,252756,0
33558,361080,0
