Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
62,199885,125864
164,252756,178735
263,216648,142627
362,198594,124573
463,259977,185956
568,0,0
667,52953,0
768,0,0
869,38556,0
976,12852,0
1096,361080,287059
1178,361080,287059
1276,361080,287059
1380,92534,18513
1482,25704,0
1584,33341,0
1678,216648,142627
1786,32130,0
1880,43329,0
1983,14709,0
2084,29418,0
2184,361080,287059
2288,252756,178735
2394,34700,0
2492,30288,0
2592,34419,0
2692,28274,0
2793,12852,0
2895,34700,0
2993,25704,0
3093,0,0
3195,28274,0
3295,25704,0
3395,14137,0
3496,46267,0
3615,180540,106519
3699,361080,287059
3797,198594,124573
3901,34700,0
4002,25704,0
4103,12852,0
4204,12852,0
4303,28274,0
4404,14137,0
4505,32130,0
4605,12852,0
4707,23133,0
4809,32130,0
4906,14137,0
5008,34700,0
5109,0,0
5209,77838,3817
5310,25704,0
5411,12852,0
5511,23133,0
5613,14137,0
5715,0,0
5813,23133,0
5914,0,0
6015,34700,0
6113,129988,55967
6213,238312,164291
6316,25704,0
6416,23133,0
6518,23133,0
6618,0,0
6719,25704,0
6823,20563,0
6920,0,0
7024,74945,924
7120,108324,34303
7221,14137,0
7324,12852,0
7423,25704,0
7523,25704,0
7624,25704,0
7725,23133,0
7827,0,0
7926,25704,0
8027,12852,0
8133,361080,287059
8227,361080,287059
8327,79437,5416
8434,11566,0
8531,25704,0
8632,23133,0
8733,12852,0
8840,11566,0
8933,0,0
9034,14137,0
9135,23133,0
9236,12852,0
9335,361080,287059
9437,77112,3091
9538,11566,0
9649,18812,0
9744,46267,0
9844,25704,0
9943,25704,0
10049,11566,0
10142,16521,0
10244,12852,0
10340,158875,84854
10444,23133,0
10547,0,0
10646,28274,0
10746,194983,120962
10843,288864,214843
10948,12852,0
11050,12852,0
11149,25704,0
11250,12852,0
11348,158875,84854
11448,361080,287059
11551,361080,287059
11651,17690,0
11753,12852,0
11854,12852,0
11954,0,0
12055,25704,0
12156,23133,0
12255,14137,0
12426,310528,236507
12454,361080,287059
12557,64260,0
12660,14137,0
12759,25704,0
12859,23133,0
12960,14709,0
13062,12852,0
13159,36108,0
13262,12852,0
13361,119156,45135
13410,61248,0
13514,46267,0
13617,14137,0
13718,63686,0
13814,29418,0
13915,15422,0
14016,42411,0
14116,14137,0
14221,23133,0
14317,0,0
14433,299696,225675
14516,270810,196789
14618,25704,0
14723,23133,0
14821,13767,0
14921,12852,0
15022,0,0
15124,12852,0
15225,12852,0
15326,26476,0
15452,238312,164291
15523,119156,45135
15626,252756,178735
15724,179896,105875
15829,0,0
15930,0,0
16034,12852,0
16134,12852,0
16234,26476,0
16335,0,0
16433,198594,124573
16533,252756,178735
16638,12852,0
16737,25704,0
16838,11566,0
16939,12852,0
17035,180540,106519
17139,12852,0
17239,25704,0
17340,14137,0
17458,96167,22146
17541,361080,287059
17640,361080,287059
17743,25704,0
17845,12852,0
17946,38556,0
18051,25704,0
18151,14137,0
18250,34700,0
18350,26476,0
18454,82440,8419
18552,41220,0
18656,12852,0
18754,11566,0
18855,25704,0
18956,23133,0
19056,25704,0
19157,14137,0
19260,11566,0
19359,28274,0
19467,34700,0
19576,361080,287059
19657,223869,149848
19761,12852,0
19875,292474,218453
19962,42411,0
20062,39715,0
20165,12852,0
20265,25704,0
20368,25704,0
20466,48541,0
20566,25704,0
20670,216648,142627
20765,180540,106519
20868,12852,0
20969,12852,0
21072,14137,0
21170,23133,0
21272,14137,0
21371,14137,0
21473,12852,0
21577,51734,0
21675,12852,0
21776,14137,0
21876,12852,0
21977,23133,0
22081,25704,0
22178,12852,0
22279,23133,0
22380,12852,0
22482,14137,0
22583,216648,142627
22680,227480,153459
22784,37172,0
22884,25704,0
22987,0,0
23086,28274,0
23187,12852,0
23288,12852,0
23388,12852,0
23486,39718,0
23585,108324,34303
23691,11566,0
23790,216648,142627
23888,79437,5416
23992,25704,0
24094,23133,0
24194,25704,0
24295,23133,0
24396,14137,0
24496,12852,0
24609,129988,55967
24698,314139,240118
24800,12852,0
24902,23133,0
25007,34700,0
25104,14137,0
25205,25704,0
25306,14137,0
25406,12852,0
25511,14137,0
25609,14137,0
25708,180540,106519
25814,361080,287059
25906,324972,250951
26010,23133,0
26112,28274,0
26211,25704,0
26313,14137,0
26417,23133,0
26515,25704,0
26614,14137,0
26716,12852,0
26817,0,0
