Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
36,249145,29175
63,361080,141110
164,324972,105002
265,288864,68894
367,180540,0
466,324972,105002
566,324972,105002
666,324972,105002
767,361080,141110
867,361080,141110
968,292474,72504
1068,361080,141110
1170,361080,141110
1271,259977,40007
1375,361080,141110
1476,324972,105002
1572,324972,105002
1672,361080,141110
1773,180540,0
1873,324972,105002
1973,97491,0
2075,79437,0
2174,209426,0
2282,361080,141110
2375,324972,105002
2476,102228,0
2579,11566,0
2680,0,0
2780,324972,105002
2880,238312,18342
2981,30288,0
3086,12852,0
3185,23133,0
3285,12852,0
3389,27535,0
3486,14137,0
3588,31843,0
3690,53071,0
3786,0,0
3888,0,0
3987,110148,0
4090,0,0
4190,23133,0
4292,0,0
4393,14137,0
4494,24781,0
4595,0,0
4695,24781,0
4796,12852,0
4896,13767,0
4998,23133,0
5096,39718,0
5199,0,0
5300,0,0
5402,0,0
5502,12390,0
5604,42411,0
5704,0,0
5804,23133,0
5903,180540,0
6002,39718,0
6105,15677,0
6206,25704,0
6308,12852,0
6408,30288,0
6507,252756,32786
6606,36108,0
6710,12852,0
6811,11566,0
6911,0,0
7012,0,0
7113,11566,0
7213,25704,0
7314,0,0
7417,13767,0
7512,39718,0
7616,11566,0
7716,14709,0
7819,12852,0
7919,25704,0
8020,0,0
8119,14137,0
8220,38556,0
8322,23133,0
8422,12852,0
8523,12852,0
8623,0,0
8723,12852,0
8824,14709,0
8926,12852,0
9026,26476,0
9126,0,0
9227,11566,0
9329,12852,0
9432,11566,0
9531,14709,0
9633,0,0
9733,12852,0
9834,12852,0
9935,23133,0
10036,0,0
10135,13767,0
10236,0,0
10337,23133,0
10438,0,0
10541,20563,0
10641,0,0
10742,24781,0
10842,70762,0
10943,11566,0
11044,12852,0
11144,12852,0
11246,0,0
11346,12852,0
11447,12852,0
11548,25704,0
11653,12852,0
11749,14137,0
11850,12852,0
11952,12852,0
12056,32130,0
12152,0,0
12253,0,0
12353,12852,0
12454,12852,0
12558,20563,0
12655,14137,0
12755,0,0
12857,23133,0
12956,12852,0
13056,23133,0
13158,0,0
13259,12852,0
13359,12852,0
13460,0,0
13561,0,0
13661,25704,0
13761,12852,0
13861,66683,0
13964,0,0
14064,14709,0
14165,12852,0
14265,0,0
14367,20563,0
14468,12852,0
14569,12852,0
14669,0,0
14769,12852,0
14870,14109,0
14971,0,0
15074,12852,0
15174,12852,0
15274,12852,0
15374,12852,0
15475,53071,0
15575,12852,0
15676,23133,0
15777,0,0
15878,14709,0
15984,23133,0
16079,28274,0
16179,12852,0
16280,12852,0
16381,12852,0
16481,12852,0
16584,12852,0
16634,25704,0
16734,12852,0
16833,15677,0
16935,12852,0
17035,28274,0
17135,0,0
17237,23133,0
17336,13767,0
17436,23133,0
17537,12852,0
17638,12852,0
17738,0,0
17845,34700,0
17939,14137,0
18041,11566,0
18141,0,0
18243,12852,0
18346,23133,0
18445,12852,0
18546,23133,0
18647,12852,0
18748,25704,0
18846,144432,0
18947,36108,0
19050,12852,0
19152,12852,0
19253,12852,0
19354,12852,0
19455,12852,0
19556,25704,0
19658,0,0
19759,14137,0
19860,12852,0
19961,12852,0
20063,0,0
20165,23133,0
20266,12852,0
20367,23133,0
20468,0,0
20569,0,0
20671,23133,0
20771,12852,0
20872,12852,0
20976,12852,0
21070,108324,0
21174,0,0
21275,0,0
21381,11566,0
21478,0,0
21579,12852,0
21680,12852,0
21786,13238,0
21881,0,0
21982,0,0
22083,23133,0
22184,0,0
22289,0,0
22386,34700,0
22486,12852,0
22588,0,0
22691,12852,0
22788,23133,0
22890,34700,0
22992,23133,0
23092,25704,0
23197,12852,0
23293,25704,0
23393,12852,0
23495,14137,0
23596,12852,0
23697,12852,0
23797,12852,0
23900,13767,0
23999,0,0
24101,23133,0
24201,12852,0
24302,12852,0
24401,12852,0
24502,0,0
24603,0,0
24705,12852,0
24805,0,0
24906,12852,0
25007,12852,0
25107,14137,0
25210,12852,0
25309,0,0
25410,11566,0
25510,12852,0
25611,12852,0
25714,0,0
25812,34700,0
25920,23133,0
26013,21228,0
26120,23133,0
26215,14137,0
26314,12852,0
26415,0,0
26516,13767,0
26617,12852,0
26718,13767,0
26770,27535,0
