Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
75,94935,0
124,412916,128720
212,1397655,1113459
313,922452,638256
410,1076194,791998
508,188373,0
660,344580,60384
710,0,0
810,209303,0
916,38556,0
1033,0,0
1113,153489,0
1216,19459,0
1318,58379,0
1423,34700,0
1521,0,0
1622,14137,0
1723,34700,0
1826,34700,0
1919,76744,0
2029,25704,0
2122,84015,0
2228,34700,0
2329,25704,0
2422,0,0
2523,0,0
2626,15677,0
2727,47764,0
2830,12852,0
2925,0,0
3026,125582,0
3130,0,0
3231,17690,0
3333,313955,29759
3427,307484,23288
3528,69768,0
3633,14137,0
3733,23133,0
3834,0,0
3939,0,0
4042,47764,0
4131,0,0
4235,34700,0
4337,25704,0
4437,25704,0
4537,34700,0
4633,139536,0
4739,28274,0
4841,23133,0
4939,12852,0
5040,14137,0
5141,14137,0
5242,15921,0
5353,11566,0
5444,23769,0
5540,125582,0
5646,17690,0
5747,25704,0
5852,0,0
5943,76744,0
6049,12852,0
6149,12852,0
6250,28218,0
6347,153489,0
6451,0,0
6547,208907,0
6652,14137,0
6748,125582,0
6853,26476,0
6957,12852,0
7056,28274,0
7156,29559,0
7254,230234,0
7353,209303,0
7461,12852,0
7558,39616,0
7658,47031,0
7756,76744,0
7859,35381,0
7961,0,0
8057,139536,0
8162,28218,0
8263,15422,0
8363,23133,0
8466,25704,0
8563,23133,0
8659,125582,0
8764,0,0
8866,12852,0
8967,24781,0
9070,12852,0
9168,19459,0
9265,69768,0
9370,0,0
9469,0,0
9572,90321,0
9673,0,0
9773,20563,0
9874,14137,0
9975,12852,0
10074,35381,0
10175,14137,0
10276,34700,0
10377,0,0
10478,12852,0
10574,83721,0
10678,23133,0
10783,14137,0
10876,125582,0
10980,0,0
11082,23133,0
11183,23133,0
11283,15422,0
11383,23133,0
11487,14137,0
11583,34700,0
11684,14137,0
11785,14137,0
11887,23133,0
11981,76744,0
12086,11566,0
12190,12852,0
12288,37172,0
12389,14137,0
12490,14709,0
12590,0,0
12691,33725,0
12792,0,0
12893,23133,0
12993,14137,0
13099,23133,0
13196,39715,0
13296,28274,0
13398,23133,0
13500,28274,0
13597,14709,0
13698,25704,0
13798,0,0
13895,69768,0
14025,40688,0
14108,1290799,1006603
14201,419296,135100
14307,0,0
14404,125582,0
14511,0,0
14604,69768,0
14708,0,0
14809,14709,0
14905,0,0
15014,12852,0
15112,12852,0
15207,0,0
15314,0,0
15417,0,0
15465,0,0
15561,125582,0
15667,0,0
15769,11566,0
15899,230234,0
15976,588739,304543
16064,1188006,903810
16165,1229936,945740
16265,1160053,875857
16366,46208,0
16474,25704,0
16568,25557,0
16671,0,0
16771,0,0
16871,17690,0
16976,11566,0
17072,22483,0
17174,48837,0
17274,14137,0
17373,139536,0
17477,11566,0
17570,174420,0
17677,251164,0
17778,410544,126348
17874,76744,0
17978,23133,0
18078,0,0
18174,0,0
18278,28218,0
18382,12852,0
18480,0,0
18595,32130,0
18679,126023,0
18784,38556,0
18887,123834,0
18984,22996,0
19087,12852,0
19187,14137,0
19287,34700,0
19394,0,0
19484,69768,0
19589,0,0
19689,12852,0
19790,0,0
19892,20563,0
19987,0,0
20091,12852,0
20188,69768,0
20292,11566,0
20395,12852,0
20491,69768,0
20591,62791,0
20697,0,0
20792,76744,0
20896,14137,0
21002,11566,0
21094,125582,0
21194,258141,0
21294,0,0
21398,83721,0
21500,58637,0
21604,12852,0
21704,38919,0
21806,25704,0
21906,20563,0
22010,14137,0
22108,19459,0
22209,32130,0
22309,21228,0
22412,23133,0
22512,17690,0
22611,59424,0
22714,70547,0
22812,1397655,1113459
22910,1229936,945740
23011,1257889,973693
23115,14137,0
23217,25704,0
23314,188373,0
23422,12852,0
23518,33341,0
23619,28274,0
23720,12852,0
23820,28274,0
23920,53071,0
24022,28274,0
24122,12852,0
24224,11566,0
24321,68989,0
24428,25704,0
24529,134441,0
24624,537213,253017
24722,279894,0
24827,0,0
24929,33341,0
25037,20563,0
25129,32360,0
25230,25704,0
25331,25704,0
25435,25704,0
25532,23133,0
25643,66683,0
25732,76744,0
25838,25704,0
25936,88118,0
26041,12852,0
26140,14137,0
26240,14137,0
26340,0,0
26440,14109,0
26543,12852,0
26642,0,0
26744,11566,0
26843,12852,0
26942,0,0
27044,0,0
27148,74345,0
27248,759663,475467
27342,1076194,791998
27443,628944,344748
27548,11566,0
27675,244187,0
27746,594053,309857
27844,0,0
27950,25704,0
28051,34489,0
28154,11566,0
28247,209303,0
28352,0,0
28448,139536,0
28554,23133,0
28669,23133,0
28750,76744,0
28856,55013,0
28965,558144,273948
29057,237394,0
29174,31665,0
29261,21228,0
29358,62791,0
29462,0,0
29564,0,0
29667,12852,0
29762,69768,0
29867,0,0
29967,34700,0
30095,265118,0
30164,0,0
30264,153489,0
30369,25704,0
30469,0,0
30570,12852,0
30671,31843,0
30771,19459,0
30821,28305,0
30918,0,0
31024,0,0
31122,69768,0
31227,12852,0
31325,25704,0
31426,34700,0
31528,25704,0
31628,12852,0
31727,15144,0
31828,14137,0
31929,23133,0
32030,12852,0
32134,0,0
32231,14137,0
32331,17690,0
32428,0,0
32534,20563,0
32633,14137,0
32733,0,0
32834,25704,0
32934,23133,0
