Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
85,108943,64990
124,361080,317127
224,317750,273797
325,317750,273797
425,227480,183527
525,216648,172695
630,12852,0
730,38556,0
831,15422,0
933,23133,0
1035,216648,172695
1130,361080,317127
1230,361080,317127
1330,361080,317127
1431,361080,317127
1539,64260,20307
1637,88453,44500
1735,238312,194359
1839,38556,0
1943,47031,3078
2043,34489,0
2144,12852,0
2244,34700,0
2349,28274,0
2445,14137,0
2546,34700,0
2650,14137,0
2742,144432,100479
2848,12852,0
2946,25704,0
3046,0,0
3147,25704,0
3254,23133,0
3347,17690,0
3448,14137,0
3550,0,0
3656,95529,51576
3752,121163,77210
3855,34700,0
3956,25704,0
4057,27535,0
4158,15422,0
4258,34700,0
4358,34700,0
4463,25704,0
4561,15144,0
4659,25704,0
4758,79437,35484
4861,11566,0
4963,12852,0
5062,32130,0
5162,14137,0
5262,23133,0
5365,0,0
5463,23535,0
5564,0,0
5666,12852,0
5767,0,0
5870,11566,0
5969,25704,0
6070,12852,0
6170,0,0
6267,64994,21041
6370,15144,0
6472,23133,0
6572,0,0
6674,12852,0
6774,27535,0
6877,77838,33885
6975,12852,0
7076,12852,0
7178,23133,0
7280,0,0
7378,14137,0
7479,0,0
7581,0,0
7683,11566,0
7785,12852,0
7885,0,0
7983,252756,208803
8082,108324,64371
8188,12852,0
8293,0,0
8387,12852,0
8488,12852,0
8589,0,0
8689,12852,0
8793,0,0
8892,13767,0
8992,34700,0
9093,0,0
9195,12852,0
9295,12852,0
9395,13767,0
9496,11566,0
9598,0,0
9702,16670,0
9749,35381,0
9851,25704,0
9951,14137,0
10052,12852,0
10153,23133,0
10253,0,0
10354,12852,0
10455,11566,0
10556,14137,0
10657,0,0
10758,26476,0
10859,11566,0
10961,12852,0
11061,12852,0
11161,12852,0
11262,0,0
11362,0,0
11465,0,0
11567,12852,0
11667,23133,0
11767,12852,0
11867,0,0
11968,23133,0
12069,13767,0
12171,12852,0
12271,12852,0
12371,12852,0
12471,0,0
12574,0,0
12674,11566,0
12776,12852,0
12876,26476,0
12978,0,0
13074,0,0
13176,12852,0
13278,12852,0
13378,12852,0
13478,14137,0
13579,12852,0
13681,12852,0
13780,0,0
13885,75261,31308
13979,144432,100479
14083,12390,0
14188,0,0
14286,14137,0
14386,23133,0
14487,23133,0
14588,0,0
14693,11566,0
14789,34700,0
14891,0,0
14991,198594,154641
15088,198594,154641
15196,25704,0
15292,278031,234078
15393,34700,0
15494,38556,0
15594,12852,0
15696,28274,0
15799,32130,0
15899,0,0
16000,12852,0
16100,12852,0
16201,0,0
16307,0,0
16406,34700,0
16505,0,0
16606,32130,0
16706,14137,0
16807,0,0
16907,13767,0
17010,12852,0
17111,0,0
17214,12852,0
17314,0,0
17415,23133,0
17515,12852,0
17619,0,0
17717,0,0
17819,12852,0
17919,12852,0
18019,12852,0
18122,0,0
18221,25704,0
18322,12852,0
18422,0,0
18523,11566,0
18624,0,0
18725,0,0
18828,23133,0
18925,36108,0
19024,39718,0
19126,25704,0
19228,12852,0
19330,23133,0
19429,0,0
19531,13767,0
19633,12852,0
19734,0,0
19831,0,0
19937,23133,0
20054,39718,0
20135,288864,244911
20238,11566,0
20339,0,0
20439,12852,0
20541,0,0
20641,23133,0
20742,14709,0
20844,11566,0
20946,0,0
21063,38556,0
21145,270810,226857
21249,12852,0
21351,12852,0
21451,28274,0
21551,12852,0
21601,0,0
21702,42411,0
21802,12852,0
21903,12852,0
22008,11566,0
22103,17651,0
22204,23133,0
22305,14137,0
22405,23133,0
22505,12852,0
22606,12852,0
22707,11566,0
22808,12852,0
22910,0,0
23010,24781,0
23111,0,0
23207,39718,0
23311,11566,0
23413,13767,0
23515,0,0
23615,23133,0
23716,0,0
23818,12852,0
23919,23133,0
24018,144432,100479
24119,0,0
24221,12852,0
24321,12852,0
24424,12852,0
24525,12852,0
24626,12852,0
24725,23133,0
24826,0,0
24927,14137,0
25028,25704,0
25153,126378,82425
25229,0,0
25332,12852,0
25431,0,0
25532,11566,0
25636,0,0
25733,25704,0
25833,12852,0
25934,23133,0
26039,25704,0
26134,22483,0
26242,277584,233631
26334,324972,281019
26436,14137,0
26539,25704,0
26635,36108,0
26739,12852,0
26841,12852,0
26940,29418,0
27042,0,0
27141,23133,0
27254,198594,154641
27339,180540,136587
27440,278031,234078
27543,11566,0
27644,12852,0
27745,13767,0
27845,0,0
27948,23133,0
28047,14709,0
28149,12852,0
28250,23133,0
28350,0,0
28452,12852,0
28552,23133,0
28653,0,0
28753,0,0
28854,12852,0
28955,13767,0
29057,23133,0
29156,14709,0
29257,12852,0
29357,13767,0
29457,0,0
29560,12852,0
29660,13767,0
29761,12852,0
29862,0,0
29963,23133,0
30065,14137,0
30165,28274,0
30261,108324,64371
30365,12852,0
30465,14137,0
30566,14137,0
30667,12852,0
30768,25704,0
30869,0,0
30970,25704,0
31071,0,0
31171,12390,0
31281,37172,0
31374,25087,0
31478,23133,0
31584,20563,0
31678,32130,0
31779,23133,0
31881,25704,0
31983,32130,0
32082,0,0
32184,23133,0
32283,14137,0
32383,324972,281019
32482,278031,234078
32585,18736,0
32686,25704,0
32787,14137,0
32889,34700,0
32990,12852,0
33091,0,0
33191,25704,0
33292,14137,0
33395,292474,248521
33495,25704,0
33547,90866,46913
33646,13767,0
33746,12852,0
33848,12852,0
33948,0,0
34049,26476,0
34151,0,0
34251,0,0
34351,14709,0
34452,12852,0
34553,14709,0
34655,0,0
34755,12852,0
34856,14709,0
34958,0,0
35059,23133,0
35159,25704,0
35259,0,0
35360,14709,0
35460,0,0
35562,23133,0
35662,12852,0
35763,14137,0
35863,32130,0
35964,14137,0
36065,34700,0
36167,14137,0
36266,23133,0
36364,158875,114922
36467,12852,0
36569,23133,0
36673,0,0
36770,25704,0
36871,14137,0
36974,25704,0
37075,12852,0
37174,0,0
37274,110148,66195
37375,46267,2314
37481,12852,0
37578,38556,0
37678,23133,0
37780,12852,0
37881,25704,0
37983,12852,0
38082,34700,0
38182,14137,0
38283,51408,7455
38382,238312,194359
38485,11566,0
38585,38556,0
38686,14137,0
38787,12852,0
38888,15422,0
38990,11566,0
39089,15422,0
39189,25704,0
39290,23133,0
39391,12852,0
39493,38556,0
39589,252756,208803
39692,0,0
39796,0,0
39894,34700,0
39995,15422,0
40095,14137,0
40196,32130,0
40303,12852,0
40400,25704,0
40499,28274,0
40600,38556,0
40704,14137,0
40801,12852,0
40902,25704,0
40999,36108,0
41104,0,0
41206,25704,0
41304,25704,0
41405,14137,0
41505,25704,0
41606,25704,0
41715,12852,0
41808,15422,0
41908,12852,0
42010,28274,0
42112,12852,0
42210,14137,0
42307,72216,28263
42411,12852,0
42512,12852,0
42613,12852,0
42712,0,0
42813,0,0
