Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
54,104651,0
111,1071363,839026
211,1397655,1165318
311,880522,648185
409,838593,606256
518,12852,0
621,58379,0
714,348840,116503
814,69768,0
923,12852,0
1015,76744,0
1119,0,0
1216,69768,0
1320,17690,0
1426,12852,0
1520,188373,0
1625,0,0
1721,0,0
1826,0,0
1929,32130,0
2027,19459,0
2128,14137,0
2227,125582,0
2333,14137,0
2426,139536,0
2531,17690,0
2627,153489,0
2728,76744,0
2834,11566,0
2932,36675,0
3034,25704,0
3129,69768,0
3237,0,0
3330,537213,304876
3429,445526,213189
3535,0,0
3636,25704,0
3736,20563,0
3832,0,0
3936,20563,0
4037,39715,0
4144,27535,0
4242,35381,0
4342,16180,0
4441,53071,0
4542,25704,0
4648,14137,0
4744,25704,0
4843,0,0
4944,24781,0
5045,0,0
5145,25704,0
5245,12852,0
5352,25704,0
5448,14137,0
5547,29418,0
5648,14137,0
5748,23133,0
5844,69768,0
5944,0,0
6049,12852,0
6149,0,0
6252,25704,0
6346,0,0
6451,17690,0
6553,34419,0
6654,27535,0
6757,23133,0
6854,25704,0
6955,14137,0
7055,25704,0
7160,23133,0
7259,14137,0
7352,153489,0
7456,0,0
7557,30007,0
7661,0,0
7757,0,0
7859,12852,0
7959,23133,0
8060,25704,0
8164,0,0
8257,76744,0
8362,25704,0
8458,76744,0
8563,23133,0
8666,24781,0
8760,76744,0
8864,31843,0
8965,12852,0
9066,23133,0
9169,25704,0
9262,94957,0
9362,76744,0
9470,0,0
9567,11566,0
9668,12852,0
9768,23133,0
9873,12852,0
9970,25704,0
10071,12852,0
10171,38556,0
10272,23133,0
10375,23133,0
10469,76744,0
10572,0,0
10669,76744,0
10775,33341,0
10881,0,0
10977,12852,0
11077,0,0
11178,23133,0
11278,29418,0
11385,12852,0
11479,16180,0
11580,14137,0
11681,0,0
11782,25704,0
11889,23133,0
11984,17690,0
12086,12852,0
12186,35381,0
12288,12852,0
12391,14137,0
12489,27535,0
12589,0,0
12689,15144,0
12794,25704,0
12895,24781,0
12987,83721,0
13093,11566,0
13193,0,0
13294,14137,0
13389,188373,0
13495,24781,0
13595,35381,0
13697,0,0
13801,11566,0
13898,12852,0
13999,0,0
14101,0,0
14200,0,0
14301,17690,0
14402,0,0
14503,12852,0
14603,12852,0
14710,12852,0
14804,14137,0
14902,0,0
15006,11566,0
15107,12852,0
15209,12852,0
15307,41303,0
15407,23133,0
15508,28274,0
15616,0,0
15705,209303,0
15805,1076194,843857
15907,1397655,1165318
16007,1257889,1025552
16108,698827,466490
16208,43491,0
16316,0,0
16411,0,0
16514,42328,0
16614,31354,0
16716,23133,0
16819,12852,0
16918,25704,0
17018,0,0
17119,12852,0
17226,25704,0
17321,17244,0
17433,60308,0
17534,418607,186270
17619,217695,0
17729,52953,0
17838,565120,332783
