Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
61,139536,0
121,968099,724238
213,1257889,1014028
313,978358,734497
411,517132,273271
516,11566,0
615,427310,183449
717,0,0
822,13767,0
924,14137,0
1030,23133,0
1125,32360,0
1222,209303,0
1322,76744,0
1428,12852,0
1523,76744,0
1627,23133,0
1728,23133,0
1828,21228,0
1935,14137,0
2031,32130,0
2126,230234,0
2230,17690,0
2332,42411,0
2431,65455,0
2532,12852,0
2634,25704,0
2744,34700,0
2831,72698,0
2933,0,0
3031,313955,70094
3137,25704,0
3235,279072,35211
3331,774479,530618
3438,0,0
3538,25704,0
3641,12852,0
3738,16180,0
3840,20563,0
3940,17690,0
4044,0,0
4144,31843,0
4245,23133,0
4345,34700,0
4445,0,0
4551,23133,0
4648,25704,0
4749,28274,0
4851,34700,0
4955,25704,0
5051,17690,0
5150,59424,0
5251,38919,0
5356,25704,0
5452,17690,0
5557,12852,0
5651,0,0
5758,23133,0
5861,32130,0
5960,14137,0
6061,12852,0
6162,23133,0
6263,28274,0
6365,23133,0
6465,55013,0
6562,35381,0
6666,34700,0
6759,76744,0
6873,14109,0
6966,0,0
7068,15422,0
7161,125582,0
7267,23133,0
7370,17690,0
7468,12852,0
7567,25704,0
7668,14137,0
7768,14137,0
7873,12852,0
7971,25704,0
8071,14137,0
8172,25704,0
8273,14137,0
8368,69768,0
8473,0,0
8574,12852,0
8674,25704,0
8778,12852,0
8875,14137,0
8975,12852,0
9075,25704,0
9177,0,0
9276,35381,0
9373,76744,0
9473,125582,0
9578,0,0
9679,12852,0
9779,25704,0
9880,23133,0
9980,47031,0
10076,0,0
10179,35381,0
10277,69768,0
10380,17690,0
10485,20563,0
10583,32130,0
10682,31354,0
10781,188373,0
10882,14137,0
10983,11566,0
11079,69768,0
11186,12390,0
11286,25704,0
11389,23133,0
11487,14709,0
11582,0,0
11689,11566,0
11788,0,0
11891,12852,0
11984,139536,0
12091,0,0
12184,139536,0
12291,11566,0
12389,0,0
12491,12852,0
12593,12852,0
12694,12852,0
12789,153489,0
12896,23133,0
12996,139536,0
13093,0,0
13195,15677,0
13298,34700,0
13397,42411,0
13495,19459,0
13623,174420,0
13694,674201,430340
13802,63686,0
13898,1397655,1153794
13998,1118124,874263
14098,1257889,1014028
14198,754733,510872
14304,15422,0
14405,25704,0
14515,32130,0
14602,83721,0
14708,25704,0
14803,125582,0
14912,34700,0
15007,15677,0
15109,0,0
15205,0,0
15310,23133,0
15418,11566,0
15528,65366,0
15611,537213,293352
15709,117274,0
15818,34700,0
15914,19459,0
16016,14137,0
16064,25704,0
16160,0,0
16265,12852,0
16361,69768,0
16487,38343,0
16584,697680,453819
16665,1229936,986075
16764,1397655,1153794
16864,838593,594732
16968,63686,0
17076,12852,0
17173,30288,0
17272,12852,0
17372,25704,0
17480,11566,0
17575,62717,0
17674,31354,0
17778,12852,0
17883,12852,0
17974,18337,0
18076,23133,0
18173,76744,0
18297,59480,0
18384,513139,269278
18481,130473,0
18601,456960,213099
18685,906425,662564
18785,1257889,1014028
18885,559062,315201
18995,25704,0
19092,34489,0
19193,28274,0
19293,23133,0
19399,12852,0
19493,21788,0
19625,79607,0
19690,153489,0
19796,11566,0
19902,0,0
19997,44226,0
20098,32130,0
20199,35381,0
20304,92718,0
20403,626722,382861
20503,56437,0
20601,28274,0
20701,45011,0
20801,36675,0
20907,23133,0
20999,0,0
21105,38556,0
21205,0,0
21305,38919,0
21420,23133,0
21508,117853,0
21617,53071,0
21710,697680,453819
21808,1006311,762450
21909,922452,678591
22013,25704,0
22115,38556,0
22210,139536,0
22316,34700,0
22417,25704,0
22518,14137,0
22618,25704,0
22727,110148,0
22820,30842,0
22924,32130,0
23026,14137,0
23122,209303,0
23233,23133,0
23323,57988,0
23432,134441,0
23527,460468,216607
23632,41220,0
23731,1113817,869956
23831,1118124,874263
23931,1118124,874263
24038,0,0
24147,11566,0
24238,0,0
24339,25704,0
24443,12852,0
24545,0,0
24649,25704,0
24738,432561,188700
24844,11566,0
24938,0,0
25038,0,0
25143,13767,0
25239,69768,0
25349,26673,0
25452,244995,1134
25543,348840,104979
25645,51114,0
25750,460468,216607
25845,1229936,986075
25946,1257889,1014028
26046,628944,385083
26153,12852,0
26248,209303,0
26351,348840,104979
26450,516319,272458
26561,75270,0
26662,88453,0
26755,55462,0
26855,465183,221322
26955,186611,0
27058,51408,0
27163,58837,0
27262,324972,81111
27361,12852,0
27464,0,0
27564,42411,0
27665,0,0
27765,12852,0
27867,23133,0
27970,12852,0
28068,0,0
28167,12852,0
