Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
60,75826,36193
116,216648,177015
217,324972,285339
317,252756,213123
367,288864,249231
471,90866,51233
571,38556,0
680,95529,55896
773,23133,0
874,38556,0
972,361080,321447
1073,88453,48820
1175,0,0
1277,34700,0
1377,14137,0
1477,25704,0
1578,34700,0
1676,216648,177015
1776,144432,104799
1877,39718,85
1980,12852,0
2081,12852,0
2183,23133,0
2284,12852,0
2384,14137,0
2485,23133,0
2586,0,0
2688,12852,0
2787,12852,0
2893,0,0
2988,12852,0
3088,0,0
3189,32130,0
3294,0,0
3392,53071,13438
3491,28274,0
3591,14137,0
3693,34700,0
3795,25704,0
3894,12852,0
3994,25704,0
4093,0,0
4192,252756,213123
4295,11566,0
4400,13767,0
4506,288864,249231
4594,288864,249231
4694,108324,68691
4799,12852,0
4899,0,0
4999,37172,0
5099,0,0
5199,23133,0
5300,0,0
5403,0,0
5503,0,0
5604,11566,0
5704,12852,0
5805,0,0
5905,14709,0
6007,12852,0
6107,12852,0
6207,0,0
6309,12852,0
6409,13767,0
6510,104529,64896
6611,12390,0
6713,0,0
6812,93681,54048
6913,12852,0
7014,12852,0
7114,0,0
7216,0,0
7316,13767,0
7417,23133,0
7516,58379,18746
7618,238312,198679
7715,119156,79523
7819,23133,0
7919,11566,0
8020,12852,0
8121,0,0
8223,0,0
8322,33725,0
8425,0,0
8525,180540,140907
8622,288864,249231
8726,0,0
8830,11566,0
8929,0,0
9029,23133,0
9130,12852,0
9231,12852,0
9333,14137,0
9432,0,0
9532,23133,0
9631,324972,285339
9730,108324,68691
9834,23133,0
9936,0,0
10037,12852,0
10137,25704,0
10239,14137,0
10340,23133,0
10440,0,0
10561,58379,18746
10641,361080,321447
10746,23133,0
10844,25704,0
10944,15422,0
11045,23133,0
11147,12852,0
11246,0,0
11347,23133,0
11447,0,0
11552,12852,0
11650,324972,285339
11747,252756,213123
11850,23133,0
11951,0,0
12053,12852,0
12152,14709,0
12253,12852,0
12353,12852,0
12455,12852,0
12557,12852,0
12653,119156,79523
12757,11566,0
12857,14137,0
12958,23133,0
13060,25704,0
13160,12852,0
13260,11566,0
13362,0,0
13463,12852,0
13565,0,0
13670,107912,68279
13763,270810,231177
13866,11566,0
13967,12852,0
14068,12852,0
14168,0,0
14269,13767,0
14370,23133,0
14472,12852,0
14571,0,0
14672,12852,0
14771,252756,213123
14873,0,0
14975,20563,0
15072,43329,3696
15175,12852,0
15275,0,0
15377,23133,0
15478,12852,0
15578,23133,0
15698,144432,104799
15778,256366,216733
15880,25704,0
15987,23133,0
16082,15144,0
16182,14137,0
16283,25704,0
16388,23133,0
16484,25704,0
16585,0,0
16691,23133,0
16786,216648,177015
16887,0,0
16989,12390,0
17089,12852,0
17190,12852,0
17291,0,0
17397,11566,0
17492,17244,0
17592,0,0
17693,23133,0
17793,0,0
17894,12852,0
17995,12852,0
18095,14709,0
18197,12852,0
18300,20563,0
18401,0,0
18502,12852,0
18598,53071,13438
18697,0,0
18808,292474,252841
18898,317750,278117
18999,180540,140907
19100,361080,321447
19209,38556,0
19304,34700,0
19404,14137,0
19505,12852,0
19613,14137,0
19707,12852,0
19806,41811,2178
19905,259977,220344
20009,25704,0
20108,25704,0
20208,23133,0
20309,0,0
20409,14137,0
20515,23133,0
20612,20563,0
20712,12852,0
20812,88118,48485
20912,0,0
21013,25704,0
21113,23133,0
21215,14137,0
21332,23133,0
21413,79437,39804
21515,23133,0
21616,15422,0
21716,25704,0
21823,35381,0
21933,361080,321447
22021,79682,40049
22125,23133,0
22172,64260,24627
22273,12852,0
22372,28274,0
22473,23133,0
