energy,group
15.63341892,high
16.17829317,high
19.72375683,high
38.71060686,high
39.83688045,high
16.21856643,high
15.72068366,high
16.48274506,high
18.48859391,high
8.005878543,high
39.22506771,high
17.24077093,high
17.8303709,high
17.64798172,high
21.32078918,high
20.38747034,high
31.8654687,high
16.20159574,high
17.22936192,high
17.71866721,high
20.57196484,high
17.63601225,high
40.69582146,high
16.12347822,high
15.23772887,high
20.96019834,high
16.00407753,high
5.401601763,high
15.65094476,high
16.02268631,high
76.56623895,high
28.74543045,high
4.167263823,high
36.51194001,high
6.55886994,high
38.96722653,high
48.46630329,high
47.2531605,high
4.249458012,high
38.3224662,high
72.92078649,high
69.25981383,high
23.2275739,high
80.19141174,high
4.94836263,high
70.34624916,high
26.23096769,high
24.88149131,high
27.91760413,high
29.88554381,high
6.837360039,high
75.02369829,high
74.20483413,high
24.08966092,high
5.374692612,high
23.52162658,high
68.46362262,high
4.424209332,high
24.23363233,high
65.87853786,high
5.076141336,idle
7.798916154,idle
5.592813828,idle
6.136550484,idle
5.125497795,idle
5.225046393,idle
6.389993187,idle
7.516053408,idle
6.106846692,idle
6.261180222,idle
5.673118296,idle
5.540575092,idle
4.938117435,idle
14.83488783,idle
5.734501602,idle
5.181944976,idle
11.68787774,idle
5.28315897,idle
6.067870071,idle
6.088256613,idle
4.865839725,idle
5.771116428,idle
6.824922894,idle
4.896370764,idle
5.171315331,idle
5.428108989,idle
5.159217234,idle
5.279492955,idle
5.530998096,idle
9.476048109,idle
4.529947077,idle
5.853601404,idle
4.48907667,idle
4.139453544,idle
4.472149215,idle
4.01579268,idle
5.699690175,idle
5.445769896,idle
4.30728375,idle
5.070829512,idle
4.530503742,idle
4.101305715,idle
4.284348129,idle
4.360934961,idle
4.26312012,idle
4.104506388,idle
18.88036842,idle
4.098669207,idle
4.35108987,idle
4.305494454,idle
5.237302272,idle
4.254403377,idle
5.377697325,idle
5.821456413,idle
5.165886498,idle
4.19620665,idle
16.70244018,idle
11.87239699,idle
5.039643567,idle
4.263394584,idle
8.648587812,low
8.093283318,low
9.037796205,low
8.334469818,low
8.200938762,low
18.42797716,low
8.668253565,low
8.710565514,low
8.301891804,low
9.670425075,low
8.43958701,low
22.3727679,low
8.311970928,low
8.630060052,low
15.24519155,low
7.999781817,low
17.7001406,low
8.64722916,low
8.502869631,low
20.59031103,low
8.227850814,low
9.224181165,low
8.434615845,low
8.470404465,low
9.28007922,low
22.35964539,low
8.548925775,low
9.001688313,low
8.307928353,low
9.289900599,low
8.968653999,low
9.372642594,low
9.56770011,low
10.24309903,low
26.13483871,low
9.826669287,low
9.885116217,low
9.801259167,low
26.21013765,low
26.28460784,low
23.35476497,low
22.9647175,low
9.122404167,low
9.364962,low
8.987061333,low
10.56293792,low
9.298820262,low
27.18370661,low
9.43945668,low
17.70120689,low
24.4002016,low
9.015205251,low
26.30093784,low
9.807250374,low
9.726767832,low
28.38022435,low
8.941578021,low
26.37766741,low
25.27717738,low
25.63914236,low
15.3740232,medium
12.39054694,medium
32.77323411,medium
12.51556689,medium
12.47118867,medium
12.60026074,medium
12.0145048,medium
13.06569614,medium
16.21298229,medium
19.07847669,medium
12.0568992,medium
15.55848292,medium
35.07014085,medium
13.44074745,medium
11.29478868,medium
12.42664824,medium
12.62697103,medium
12.31436842,medium
32.00797011,medium
13.20347672,medium
25.06536054,medium
12.79232148,medium
15.39668648,medium
30.9406455,medium
28.6505718,medium
15.23245542,medium
12.39468881,medium
16.06771838,medium
12.76631165,medium
12.30694814,medium
51.98599521,medium
14.566044,medium
18.9194949,medium
17.17669841,medium
30.7193895,medium
48.25362714,medium
14.55521162,medium
80.57907342,medium
48.93225861,medium
18.92840166,medium
20.41820999,medium
14.58888383,medium
18.53098509,medium
21.87995246,medium
27.89046334,medium
14.76536751,medium
24.31029424,medium
14.95367627,medium
15.02727083,medium
39.064311,medium
49.02177186,medium
35.62513926,medium
49.39366311,medium
14.54308992,medium
23.43365846,medium
15.10047026,medium
41.70156522,medium
43.80245265,medium
143.949412,medium
17.76191206,medium
