Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
79,474789,0
111,922452,302435
215,978358,358341
312,754733,134716
416,1257889,637872
511,167718,0
612,251164,0
722,0,0
831,978358,358341
928,978358,358341
1023,419296,0
1126,978358,358341
1224,768710,148693
1326,46002,0
1426,460468,0
1527,92005,0
1628,522268,0
1728,464687,0
1829,559062,0
1951,88453,0
2041,219873,0
2137,252756,0
2238,259977,0
2342,162486,0
2442,56548,0
2542,25704,0
2642,0,0
2743,12852,0
2845,23133,0
2944,14137,0
3045,28274,0
3147,34700,0
3247,125435,0
3352,292474,0
3453,288864,0
3549,361080,0
3650,361080,0
3750,288864,0
3851,238312,0
3959,42411,0
4064,56548,0
4155,123834,0
4258,84313,0
4359,169337,0
4457,93681,0
4573,66192,0
4657,151653,0
4759,76671,0
4869,27535,0
4968,42411,0
5067,31354,0
5168,0,0
5270,0,0
5372,23133,0
5472,14709,0
5573,12852,0
5673,24781,0
5774,0,0
5875,15677,0
5982,23133,0
6091,324972,0
6176,161252,0
6279,24781,0
6382,0,0
6481,27535,0
6581,23133,0
6682,12852,0
6783,25704,0
6886,12852,0
6986,25704,0
7081,144432,0
7184,79437,0
7283,180540,0
7388,12852,0
7487,32360,0
7589,14137,0
7639,20563,0
7740,25704,0
7839,15422,0
7940,12852,0
8046,11566,0
8141,15422,0
8242,25704,0
8343,25704,0
8446,12852,0
8544,0,0
8644,23133,0
8745,0,0
8846,11566,0
8949,12852,0
9048,46267,0
9150,14137,0
9251,23133,0
9352,12852,0
9454,12852,0
9554,25704,0
9655,25704,0
9756,0,0
9858,23133,0
9956,53071,0
10058,23133,0
10159,110027,0
10258,50012,0
10359,0,0
10461,23133,0
10562,0,0
10663,38556,0
10766,11566,0
10866,15422,0
10967,20563,0
11068,12852,0
11168,14137,0
11269,12852,0
11372,12852,0
11471,25704,0
11571,12852,0
11673,25704,0
11774,12852,0
11876,25704,0
11976,11566,0
12077,23133,0
12178,0,0
12276,36108,0
12377,15422,0
12480,10281,0
12579,28274,0
12683,0,0
12779,23133,0
12882,28274,0
12983,0,0
13087,11566,0
13186,28274,0
13286,25704,0
13386,14137,0
13489,23133,0
13587,23133,0
13687,0,0
13787,20563,0
13890,14137,0
13990,23133,0
14090,14137,0
14191,38556,0
14292,12852,0
14392,28274,0
14493,28274,0
14593,23133,0
14698,14137,0
14795,12852,0
14897,23133,0
14998,25704,0
15104,25704,0
15199,14137,0
15300,23133,0
15400,14137,0
15501,35381,0
15608,23133,0
15702,15144,0
15801,25704,0
15902,25704,0
16004,23133,0
16106,42411,0
16205,34700,0
16306,23133,0
16406,14137,0
16507,23133,0
16611,12852,0
16709,34700,0
16809,0,0
16910,28274,0
17010,25704,0
17114,12852,0
17214,28274,0
17312,34700,0
17414,14137,0
17516,28274,0
17613,23133,0
17714,28274,0
17814,23133,0
17915,14137,0
18016,0,0
18116,42411,0
18219,38556,0
18323,57834,0
18419,95529,0
18519,14137,0
18620,25704,0
18721,28274,0
18822,25704,0
18922,23133,0
19029,12852,0
19124,42411,0
19225,25704,0
19327,15422,0
19429,23133,0
19528,23133,0
19628,0,0
19680,25704,0
19780,25704,0
19879,38556,0
19980,0,0
20083,28274,0
20182,12852,0
20283,25704,0
20383,0,0
20485,23133,0
20585,38556,0
20689,11566,0
20785,90270,0
20888,23133,0
20989,14137,0
21092,23133,0
21189,0,0
21289,25704,0
21390,25704,0
21491,28274,0
21594,23133,0
21691,25704,0
21793,0,0
21893,12852,0
21994,14137,0
22097,12852,0
22195,25704,0
22295,34700,0
22395,14137,0
22499,25704,0
22596,25704,0
22696,12852,0
22797,15422,0
22897,25704,0
23000,25704,0
23101,23133,0
23201,14137,0
23300,70762,0
23401,0,0
23501,0,0
23601,51408,0
23701,0,0
23803,11566,0
23903,0,0
24004,25704,0
24105,0,0
24206,14137,0
24308,12852,0
24408,28274,0
24508,14137,0
24608,23133,0
24709,0,0
24812,20563,0
24909,42411,0
25012,12852,0
25110,0,0
25211,23133,0
25312,0,0
25412,12852,0
25512,12852,0
25614,34700,0
25715,34700,0
25817,42411,0
25918,25704,0
26019,12852,0
26118,28274,0
26219,23133,0
26319,12852,0
26420,15422,0
26522,20563,0
26622,14137,0
26721,14137,0
26823,25704,0
26924,14137,0
27028,25704,0
27123,25704,0
27224,28274,0
27325,23133,0
27425,25704,0
27530,12852,0
27627,0,0
27728,12852,0
27828,0,0
27929,25704,0
28031,12852,0
28130,28274,0
28230,57834,0
28333,25704,0
28433,28274,0
28535,12852,0
28634,41303,0
28734,25704,0
28834,12852,0
28935,14137,0
29036,11566,0
29136,38556,0
29237,14137,0
29337,23133,0
29438,14137,0
29541,14137,0
29639,32130,0
29741,0,0
29840,25704,0
29946,25704,0
30042,25704,0
30142,14137,0
30242,14137,0
30342,12852,0
30446,25704,0
30546,0,0
30643,88453,0
30745,12852,0
30846,23133,0
30947,14137,0
31047,25704,0
31149,14137,0
31250,0,0
31351,25704,0
31454,0,0
31551,28274,0
31654,88453,0
31764,324972,0
31852,361080,0
31953,361080,0
32053,361080,0
32154,361080,0
32255,361080,0
32355,361080,0
32455,36108,0
32555,317750,0
32660,11566,0
32760,0,0
32861,13767,0
32963,23133,0
33064,12852,0
33167,23133,0
33265,17244,0
33366,0,0
33466,0,0
33567,11566,0
33669,12852,0
33770,14709,0
33871,12852,0
33972,13767,0
34073,12852,0
34173,0,0
34276,23133,0
34374,0,0
34476,11566,0
34578,12852,0
34677,12852,0
34779,12852,0
34879,14709,0
34980,12852,0
35080,25704,0
35181,14137,0
35287,13767,0
35384,38556,0
35483,12852,0
35583,12852,0
35684,12852,0
35783,38556,0
35884,25704,0
35985,11566,0
36085,14137,0
36186,12852,0
36286,12852,0
36388,0,0
36494,12852,0
36589,25704,0
36687,0,0
36791,12852,0
36895,12852,0
36994,11566,0
37094,12852,0
37195,0,0
37295,23133,0
37399,0,0
37500,14137,0
37596,23133,0
37697,14137,0
37798,12852,0
37900,12852,0
38000,34700,0
38100,14137,0
38200,23133,0
38301,25704,0
38352,25704,0
38453,0,0
38604,7711,0
38654,25704,0
38755,12852,0
38855,12852,0
38955,13767,0
39056,0,0
39157,11566,0
39257,12852,0
39358,25704,0
39460,12852,0
39560,0,0
39662,20563,0
39760,23769,0
39861,12852,0
39962,25704,0
40062,12852,0
40160,162486,0
40264,12852,0
40365,0,0
40466,23535,0
40569,0,0
40669,0,0
40770,0,0
40872,12852,0
40973,11566,0
41076,0,0
41174,23133,0
41275,0,0
41375,11566,0
41476,12852,0
41585,12852,0
41679,0,0
41780,12852,0
41888,32130,0
41979,0,0
42087,23133,0
42181,12852,0
42281,27535,0
42384,0,0
42485,12852,0
42588,12852,0
42688,12852,0
42789,23133,0
42888,14137,0
42990,12852,0
43091,14137,0
43192,23133,0
43292,12852,0
43393,14137,0
43494,12852,0
43597,23133,0
43695,14137,0
43796,25704,0
43896,12852,0
44003,25704,0
44097,33341,0
44198,0,0
44300,12852,0
44402,0,0
44504,12852,0
44602,12852,0
44701,29418,0
44802,14137,0
44902,12852,0
45006,12852,0
45104,14137,0
45205,11566,0
45304,12852,0
45404,0,0
45506,12852,0
45606,13767,0
45706,14137,0
45806,23133,0
45907,14137,0
46009,23133,0
46109,17690,0
46210,12852,0
46311,0,0
46410,25704,0
46511,25704,0
46612,12852,0
46712,12852,0
46812,0,0
46914,12852,0
47015,14137,0
47116,25704,0
47221,23133,0
47317,0,0
47417,12852,0
47520,25704,0
47622,12852,0
47721,27535,0
47821,12852,0
47920,38556,0
48021,25704,0
48120,25704,0
48221,12852,0
48321,12852,0
48423,25704,0
48525,12852,0
48626,12852,0
48725,14137,0
48826,12852,0
48927,25704,0
49027,15677,0
49130,12852,0
49230,13767,0
49329,14137,0
49430,23133,0
49531,14137,0
49632,23133,0
49735,0,0
49834,25704,0
49933,23133,0
50033,0,0
50135,12852,0
50235,12852,0
50336,14137,0
50437,23133,0
50538,12852,0
50638,23133,0
50738,0,0
50838,23133,0
50940,11566,0
51040,0,0
51141,25704,0
51242,14137,0
51341,13767,0
51443,25704,0
